# PD Winkelstuetzmauer - Hoehenkatalog
# Beliebig erweiterbar. Eine Zeile je Mauerwinkel.
# Farbe als #RRGGBB oder R,G,B - leer = automatisch
# Hoehe_cm;Fusslaenge_cm;Farbe;Bemerkung
30;20;#A8D5A2;40 x 20 x 30
40;30;#6BB7C4;40 x 30 x 40
50;30;#5B8FD4;40 x 30 x 50
60;40;#A96FC9;40 x 40 x 60
80;40;#E0705F;40 x 40 x 80
